2020-11-23 09:33:39.798 +03:00 [INF] Starting up application
2020-11-23 09:33:39.903 +03:00 [INF] Base directory: C:\Learning\ASPNetMentoring\NorthwindCorp\NorthwindCorp\NorthwindCorp.Web\bin\Debug\netcoreapp3.1\
2020-11-23 09:33:40.509 +03:00 [INF] read: 'CacheTime' = 15
2020-11-23 09:33:40.513 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-23 09:33:40.631 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-23 09:33:40.766 +03:00 [INF] read: 'IsLoggingControllerActions' = False
2020-11-23 09:33:40.767 +03:00 [INF] read: 'IsLoggingControllerActions' = False
2020-11-23 09:33:41.117 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-23 09:33:55.519 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-23 09:34:10.529 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-23 18:03:23.118 +03:00 [INF] Starting up application
2020-11-23 18:03:23.242 +03:00 [INF] Base directory: C:\Learning\ASPNetMentoring\NorthwindCorp\NorthwindCorp\NorthwindCorp.Web\bin\Debug\netcoreapp3.1\
2020-11-23 18:03:23.821 +03:00 [INF] read: 'CacheTime' = 15
2020-11-23 18:03:23.927 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-23 18:03:24.028 +03:00 [INF] read: 'IsLoggingControllerActions' = False
2020-11-23 18:03:24.441 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-23 18:03:24.442 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-23 18:03:24.452 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-23 18:03:24.452 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-23 18:03:26.089 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-23 18:03:26.097 +03:00 [INF] read: 'IsLoggingControllerActions' = False
2020-11-23 18:03:28.853 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-23 18:03:28.853 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-23 18:03:28.856 +03:00 [INF] read: 'IsLoggingControllerActions' = False
2020-11-23 18:03:28.856 +03:00 [INF] read: 'IsLoggingControllerActions' = False
2020-11-23 18:03:28.884 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-23 18:03:28.886 +03:00 [INF] read: 'IsLoggingControllerActions' = False
2020-11-23 18:03:28.889 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-23 18:03:28.890 +03:00 [INF] read: 'IsLoggingControllerActions' = False
2020-11-23 18:03:29.093 +03:00 [INF] read: 'CacheImageCount' = 10
2020-11-23 18:03:29.096 +03:00 [INF] read: 'CacheImageCount' = 10
2020-11-23 18:03:29.098 +03:00 [INF] read: 'CacheImageCount' = 10
2020-11-23 18:03:29.100 +03:00 [INF] read: 'CacheImageCount' = 10
2020-11-23 18:03:29.102 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-23 18:03:29.102 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-23 18:03:29.103 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-23 18:03:29.103 +03:00 [INF] read: 'IsLoggingControllerActions' = False
2020-11-23 18:03:29.102 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-23 18:03:29.103 +03:00 [INF] read: 'IsLoggingControllerActions' = False
2020-11-23 18:03:29.103 +03:00 [INF] read: 'IsLoggingControllerActions' = False
2020-11-23 18:03:29.102 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-23 18:03:29.103 +03:00 [INF] read: 'IsLoggingControllerActions' = False
2020-11-23 18:03:29.103 +03:00 [INF] read: 'IsLoggingControllerActions' = False
2020-11-23 18:03:29.106 +03:00 [INF] read: 'CacheImageCount' = 10
2020-11-23 18:03:29.108 +03:00 [INF] read: 'CacheImageCount' = 10
2020-11-23 18:03:29.110 +03:00 [INF] read: 'CacheImageCount' = 10
2020-11-23 18:03:29.114 +03:00 [INF] read: 'CacheImageCount' = 10
2020-11-23 18:03:29.134 +03:00 [INF] read: 'CacheImageCount' = 10
2020-11-23 18:04:04.228 +03:00 [INF] Starting up application
2020-11-23 18:04:04.307 +03:00 [INF] Base directory: C:\Learning\ASPNetMentoring\NorthwindCorp\NorthwindCorp\NorthwindCorp.Web\bin\Debug\netcoreapp3.1\
